CCTV-央视,#genre#
CCTV-15音乐HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229902/10000100000000060000000010595397_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPaCi56x3yoAmsKf7jxQYJHQ,

CCTV-17农业农村HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229870/10000100000000060000000010232873_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP/EldMjfy8Rn7a9TFABF5Bw,

CGTN-NEWS,rtsp://125.88.70.140/PLTV/88888905/224/3221227064/10000100000000060000000000698831_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPW1rLruCX4AsljSnKyeouqQ,

CETV-1HD,rtsp://125.88.70.140/PLTV/88888905/224/3221228289/10000100000000060000000007781467_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPqrf9v+fOmBBrs7UJmpdKfA,

CCTV-第一剧场,rtsp://125.88.70.140/PLTV/88888905/224/3221228292/10000100000000060000000007781466_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPXwd+wC3Ht0ebs1I2wd3QKQ,

CCTV-风云足球,rtsp://125.88.70.140/PLTV/88888905/224/3221228348/10000100000000060000000007969164_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPztKyqJxhyTrENaf3MnajOA,

CCTV-世界地理,rtsp://125.88.70.140/PLTV/88888905/224/3221228270/10000100000000060000000007781464_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP7FcnoK4ZmVwA9Op6P7tHzA,

CCTV-风云音乐,rtsp://125.88.70.140/PLTV/88888905/224/3221228273/10000100000000060000000007935449_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPeJgcWRpjsQ67rO3gJYJdng,

